model,horizon,MAE,RMSE
B3_reduced_HMM_features,22,27.761404037475586,35.71875341754139
B3_reduced_HMM_features,23,46.10868453979492,61.584965761235104
B3_reduced_HMM_features,24,34.38095474243164,44.46774391650017
B4_regression_decoupled,1,50.0042724609375,65.38396210080879
B4_regression_decoupled,2,34.02910232543945,43.3351452570904
B4_regression_decoupled,3,35.94313049316406,45.90490978302321
B4_regression_decoupled,4,39.176753997802734,51.069852974259675
B4_regression_decoupled,5,50.722694396972656,64.21513828043197
B4_regression_decoupled,6,46.74337387084961,59.72510881569723
B4_regression_decoupled,7,44.69310760498047,57.54975131964625
B4_regression_decoupled,8,43.8432731628418,57.2169771195851
B4_regression_decoupled,9,74.09688568115234,88.27375521283209
B4_regression_decoupled,10,47.711273193359375,63.100989400177
B4_regression_decoupled,11,39.8621826171875,52.604768973449545
B4_regression_decoupled,12,45.010215759277344,58.87677478747456
B4_regression_decoupled,13,48.890594482421875,62.891407215632405
B4_regression_decoupled,14,47.5563850402832,58.059798359509266
B4_regression_decoupled,15,37.60578918457031,48.83674923837453
B4_regression_decoupled,16,43.17557144165039,55.05557827521885
B4_regression_decoupled,17,48.92211151123047,61.8031483857467
B4_regression_decoupled,18,39.83763122558594,52.19964538687619
B4_regression_decoupled,19,48.768272399902344,62.659191795029166
B4_regression_decoupled,20,35.963565826416016,46.51272244891042
B4_regression_decoupled,21,40.384700775146484,51.817946788492115
B4_regression_decoupled,22,66.9810562133789,87.35793992516507
B4_regression_decoupled,23,35.43766403198242,45.47899637555918
B4_regression_decoupled,24,41.00864028930664,52.07044319657266
B4_classification_decoupled,1,68.60294342041016,86.68499061346347
B4_classification_decoupled,2,34.09197998046875,43.661140228074956
B4_classification_decoupled,3,76.7603988647461,96.93117826743106
B4_classification_decoupled,4,73.13432312011719,90.69246411292947
B4_classification_decoupled,5,85.83453369140625,105.50164764708654
B4_classification_decoupled,6,56.05337905883789,71.66407910784174
B4_classification_decoupled,7,65.07566833496094,81.1486417063234
B4_classification_decoupled,8,61.482120513916016,77.36504757277346
B4_classification_decoupled,9,72.39099884033203,89.89165842227104
B4_classification_decoupled,10,69.06330108642578,84.27795634554299
B4_classification_decoupled,11,74.75249481201172,94.12849636600491
B4_classification_decoupled,12,67.43352508544922,82.73904171210529
B4_classification_decoupled,13,68.3414306640625,85.95686429559451
B4_classification_decoupled,14,57.565208435058594,70.36734666421991
B4_classification_decoupled,15,59.29372787475586,75.44774552422027
B4_classification_decoupled,16,59.61305236816406,74.15601954241477
B4_classification_decoupled,17,69.96572875976562,84.49520661792745
B4_classification_decoupled,18,69.88215637207031,88.89608630393269
B4_classification_decoupled,19,82.07144165039062,102.17771837740604
B4_classification_decoupled,20,47.458927154541016,60.96063262851486
B4_classification_decoupled,21,86.9940185546875,112.135159273586
B4_classification_decoupled,22,48.22433090209961,62.02725506657335
B4_classification_decoupled,23,41.93940734863281,51.75024060179576
B4_classification_decoupled,24,31.47671890258789,39.841905594565254
B6_combo_B1_B2_B3,1,25.735679626464844,33.86559883096248
B6_combo_B1_B2_B3,2,25.7630615234375,33.90796906644421
B6_combo_B1_B2_B3,3,20.715272903442383,27.82591078536615
B6_combo_B1_B2_B3,4,21.622600555419922,28.79637585195455
B6_combo_B1_B2_B3,5,33.23085403442383,43.34848399255878
B6_combo_B1_B2_B3,6,22.902482986450195,30.30495939553201
B6_combo_B1_B2_B3,7,35.1501350402832,45.36174317793161
B6_combo_B1_B2_B3,8,22.782758712768555,30.29415722402692
B6_combo_B1_B2_B3,9,27.880451202392578,36.3366656627211
B6_combo_B1_B2_B3,10,22.840612411499023,30.380279207836352
B6_combo_B1_B2_B3,11,28.737882614135742,37.54476657365594
B6_combo_B1_B2_B3,12,23.29616355895996,30.7800027507461
B6_combo_B1_B2_B3,13,27.49453353881836,35.472960584326586
B6_combo_B1_B2_B3,14,24.12179183959961,31.771996755508322
B6_combo_B1_B2_B3,15,24.580963134765625,32.59431177607912
B6_combo_B1_B2_B3,16,22.557586669921875,29.917044322854238
B6_combo_B1_B2_B3,17,23.543556213378906,31.13210377957435
B6_combo_B1_B2_B3,18,26.574304580688477,34.56807284411803
B6_combo_B1_B2_B3,19,23.455842971801758,30.828604120706633
B6_combo_B1_B2_B3,20,23.29263687133789,30.850594082990323
B6_combo_B1_B2_B3,21,24.330440521240234,31.73867908404507
B6_combo_B1_B2_B3,22,23.315690994262695,30.45928138130683
B6_combo_B1_B2_B3,23,21.959598541259766,29.05098688284423
B6_combo_B1_B2_B3,24,23.137462615966797,30.64599587202676
